Model,seed,n_sources,n_mixtures,n_samples,presumed_domain,SINR,SNRinp_target,SNRinp_measured,execution_time,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,1200,5,13,100000,sparse,27.03192164587368,30.0,30.000926568501388,15.73044301700429,27.512403033777566,27.330697231032314,25.849209959960486,27.77873043909632,26.94776847181639
PredictiveDecorrBSS,1300,5,7,100000,sparse,26.25103578495175,30.0,30.01103725235675,15.741579374007415,26.358977693071324,29.085283064073057,28.23729764883447,26.76941507871917,23.280241889658843
PredictiveDecorrBSS,1300,5,8,100000,sparse,26.364469535275102,30.0,29.994872340038327,15.60492743802024,26.223098458258484,29.20897512080878,28.242263145586737,26.674297933858476,23.656101213474948
PredictiveDecorrBSS,1300,5,9,100000,sparse,26.41922071871756,30.0,29.99684573782566,15.878210071008652,26.26629870839964,29.316869483680208,28.12674608062885,25.507742010518804,24.54747048420302
PredictiveDecorrBSS,1300,5,10,100000,sparse,26.722042119372084,30.0,29.98893567324009,15.643415416998323,26.710081164552633,29.246801645361575,28.49440774112138,25.55410141399728,25.077728965801583
PredictiveDecorrBSS,1300,5,11,100000,sparse,26.89464249863232,30.0,29.99814993983786,14.950641040020855,26.853330106041007,28.47831830251842,29.47250865389687,25.851605872291046,25.22716494542933
PredictiveDecorrBSS,1300,5,12,100000,sparse,26.742315645446915,30.0,30.001851017422435,14.925730278017,26.60779482951819,28.187487578816363,27.794746417032094,26.503698743952885,25.254346807768542
PredictiveDecorrBSS,1300,5,13,100000,sparse,26.905473267019396,30.0,29.994886707348023,15.118171768990578,26.65874824186828,28.00799258509349,27.313973644329895,25.94901708977482,26.876595059028435
PredictiveDecorrBSS,1400,5,7,100000,sparse,22.44096528108647,30.0,29.996120092158407,14.533351644000504,23.15095802185032,21.890487171660965,24.18751429376883,19.5862239436916,26.20013634457001
PredictiveDecorrBSS,1400,5,8,100000,sparse,23.819509793857733,30.0,30.00389345360287,14.427991094009485,24.748520641714762,23.099297405341346,26.19626919207592,21.014610662625852,26.579887615352916
PredictiveDecorrBSS,1400,5,9,100000,sparse,25.863156872392622,30.0,29.99584927881275,14.393038777023321,26.184811809726337,24.994507393489197,27.20600572566029,24.35155761276456,27.402305950023713
PredictiveDecorrBSS,1400,5,10,100000,sparse,26.010633505716314,30.0,30.00594294421122,14.36920973699307,26.45516376602014,25.10435402549173,27.711826177616075,24.318555722374203,27.466405945130738
PredictiveDecorrBSS,1400,5,11,100000,sparse,26.287346722913174,30.0,30.009469126553157,14.414751090022037,26.477298559328784,25.68193807259631,27.008907197797377,25.204728268964544,27.454078235883852
PredictiveDecorrBSS,1400,5,12,100000,sparse,26.416389160451367,30.0,29.99315963169491,14.529725046013482,26.29344500557835,25.99229197261922,27.058990451680582,25.49571428162627,27.54028546748608
