Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,2500,0.0,gaussian,25.467025572628575,30.0,30.01055013627351,8.662894574925303,5,10,100000,nnantisparse,23.868576799183362,24.361044389453017,26.71288821077645,24.93139701325942,29.6504793240719
PredictiveDecorrBSS,2600,0.0,gaussian,27.32330349606614,30.0,30.006266268193272,8.619672635919414,5,10,100000,nnantisparse,26.765199612753477,25.904272290016724,28.173109181256745,28.27505588419415,28.024165080317847
PredictiveDecorrBSS,2700,0.0,gaussian,26.4764002935528,30.0,29.99722047542435,8.753124598995782,5,10,100000,nnantisparse,29.189482690076794,24.972000115037837,29.03220924294219,25.590910182220963,25.44617510861964
PredictiveDecorrBSS,2800,0.0,gaussian,26.634078050260865,30.0,29.9828905768736,8.671285883989185,5,10,100000,nnantisparse,25.528404665237325,24.781168672727677,27.789559908734613,27.97157221414212,28.342552346813097
PredictiveDecorrBSS,2900,0.0,gaussian,10.632665337841122,30.0,30.00377847812039,8.68139376596082,5,10,100000,nnantisparse,24.076622117455273,19.816474778867523,4.278595047572084,28.251271626673162,26.77873941028995
PredictiveDecorrBSS,0,0.0,uniform,26.98760046591318,30.0,30.011468636503686,8.66710256692022,5,10,100000,nnantisparse,27.686090671533155,27.893287544819763,27.497065979477185,24.48556413140502,28.74286211449174
PredictiveDecorrBSS,100,0.0,uniform,9.861453407199384,30.0,30.018182065874125,8.73283522494603,5,10,100000,nnantisparse,26.662024361914213,26.08509839060797,3.5291863214402786,25.537783570357462,27.096434993792275
PredictiveDecorrBSS,200,0.0,uniform,26.07752352670435,30.0,30.01743051258206,8.704966543940827,5,10,100000,nnantisparse,25.182847837116398,26.227171277648477,27.738987578718625,26.649112489752376,25.116100600541856
PredictiveDecorrBSS,300,0.0,uniform,27.666135723576115,30.0,29.994247688861723,8.635700460989028,5,10,100000,nnantisparse,28.360545338867013,27.6086811836521,27.183910335806182,28.397251514995364,26.976885946292168
PredictiveDecorrBSS,400,0.0,uniform,25.14052933073144,30.0,30.012479682997988,8.643124544993043,5,10,100000,nnantisparse,25.273219761219142,25.769397237862247,23.14927246303768,26.35730382975385,25.985637190760226
PredictiveDecorrBSS,500,0.0,uniform,27.122983562244485,30.0,30.015184024762046,8.658966746064834,5,10,100000,nnantisparse,26.90486330825481,26.97887625867117,26.925860875440844,27.146045369160472,27.70805855092621
PredictiveDecorrBSS,600,0.0,uniform,27.036900386664936,30.0,30.006260874733815,8.656211343943141,5,10,100000,nnantisparse,25.396936139855576,29.847899158108945,26.573718468878084,27.974263938857483,26.630401984969847
PredictiveDecorrBSS,700,0.0,uniform,9.781298702001644,30.0,30.001479546150943,8.682834106963128,5,10,100000,nnantisparse,3.494218016564764,27.828522106947897,26.727471747214032,27.439393149124598,24.96513601603208
PredictiveDecorrBSS,800,0.0,uniform,27.78934314187171,30.0,29.99513091928346,8.656970677897334,5,10,100000,nnantisparse,29.40279506337349,26.866767104743264,27.40012391918325,28.520576210504572,27.23949364303566
PredictiveDecorrBSS,900,0.0,uniform,27.22633355035523,30.0,29.997865827043974,8.686366599053144,5,10,100000,nnantisparse,26.823913857833475,26.728019233594505,28.739221700758854,27.49569596836166,26.672895245968327
PredictiveDecorrBSS,1000,0.0,uniform,26.641532915836198,30.0,30.00363269373345,8.698971032979898,5,10,100000,nnantisparse,25.650958505443164,26.346673742239876,27.6707546066298,26.15461161146131,27.78801172699401
PredictiveDecorrBSS,1100,0.0,uniform,26.407932112716665,30.0,30.00314777028865,8.644478847971186,5,10,100000,nnantisparse,27.51906460496354,28.81565172191467,26.671607181048916,26.5181901544265,24.016963171464084
PredictiveDecorrBSS,1200,0.0,uniform,25.020673920132708,30.0,29.994911679772088,8.657142195035703,5,10,100000,nnantisparse,27.3896146272359,24.135789841621808,25.648786924694615,23.201736276093435,25.964611741481992
PredictiveDecorrBSS,1300,0.0,uniform,26.030453953800556,30.0,29.998067435691457,8.652295280946419,5,10,100000,nnantisparse,25.419421494639924,25.146125186988343,28.424977218242624,24.80727131661231,27.430212552595513
PredictiveDecorrBSS,1400,0.0,uniform,26.593988731761648,30.0,29.998369683971433,8.720068871974945,5,10,100000,nnantisparse,30.31582705511522,26.093419695916516,26.730638607891407,26.392948713042035,25.027995886360458
PredictiveDecorrBSS,1500,0.0,uniform,27.95548959419046,30.0,29.994688535006265,8.720440082950518,5,10,100000,nnantisparse,29.691829384780142,27.806326529571315,27.787574973439515,27.82595758333787,27.07357846374931
PredictiveDecorrBSS,1600,0.0,uniform,9.91596858817242,30.0,30.001152001534415,8.711247113067657,5,10,100000,nnantisparse,3.5759236040500646,27.815245650934987,24.497213456097406,28.280504546992272,29.597473731046616
PredictiveDecorrBSS,1700,0.0,uniform,26.59931213863058,30.0,30.009148415561132,8.741669025970623,5,10,100000,nnantisparse,26.645920334426528,26.227651230682298,25.838885949398044,26.84691691986226,27.65363125238714
PredictiveDecorrBSS,1800,0.0,uniform,26.900066144567873,30.0,30.001686025505208,8.730521913035773,5,10,100000,nnantisparse,27.236723019630226,27.201030845563466,25.342255993236318,27.52285956617711,27.647671811057602
PredictiveDecorrBSS,1900,0.0,uniform,26.75464416436066,30.0,29.995625046424912,8.932065723929554,5,10,100000,nnantisparse,26.65637068473762,27.550226135523133,26.694935878727783,25.186890331692023,28.340632882029308
PredictiveDecorrBSS,2000,0.0,uniform,27.08264768990513,30.0,30.00515547547055,8.80098162998911,5,10,100000,nnantisparse,28.330837451399205,27.032492054376313,25.317228372016633,27.196245039296777,28.252998452303935
PredictiveDecorrBSS,2100,0.0,uniform,26.25839386487989,30.0,30.000540260040644,8.698234264971688,5,10,100000,nnantisparse,26.40967178948162,25.710138581408003,24.821555995792487,27.134535307058357,27.853258510768207
