Model,seed,rho,mixing_distribution,SINR,SNRinp_target,SNRinp_measured,execution_time,n_sources,n_mixtures,n_samples,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,800,0.0,laplace,27.19579670893992,30.0,29.993499287533496,15.696581487001822,5,10,100000,31.55539844049894,28.63648672663171,24.329735185938365,27.45513543672065,27.005591210221557
PredictiveDecorrBSS,900,0.0,laplace,25.345314709460336,30.0,30.011574742555794,15.65244904499923,5,10,100000,27.066285271024917,26.228790302667633,24.218241556007953,23.952639827150684,26.116654562080747
PredictiveDecorrBSS,1000,0.0,laplace,26.087925744239588,30.0,30.005924360609548,15.613482996999664,5,10,100000,26.269633197312004,27.134823475149194,26.925349292685237,24.528742038096112,26.093329168804864
PredictiveDecorrBSS,1100,0.0,laplace,26.249268243263,30.0,29.98389516565874,15.680156074999104,5,10,100000,24.519048054201946,26.013436295902874,26.464125479974587,28.135959298668702,26.928478576089347
PredictiveDecorrBSS,1200,0.0,laplace,27.022460026948952,30.0,29.99469609866634,15.73586806700041,5,10,100000,27.005302080571862,28.838641661169913,24.58804051550871,26.737731170489504,29.894111918739632
PredictiveDecorrBSS,1300,0.0,laplace,25.437593416813677,30.0,30.01329779558146,15.6816431369989,5,10,100000,20.95762424666897,26.47417119150203,29.877032636222328,27.84948261269526,28.769753480373595
PredictiveDecorrBSS,1400,0.0,laplace,25.83158601283166,30.0,30.002167634143774,15.31681600400043,5,10,100000,24.684979188180968,28.217265691823176,28.198838599121384,24.713430938130468,24.87178759864021
PredictiveDecorrBSS,1500,0.0,laplace,25.99430167899461,30.0,30.003018697484105,15.797689581002487,5,10,100000,26.079433082212194,25.466513842744437,25.990755661205604,24.927513307311806,28.138032525558728
PredictiveDecorrBSS,1600,0.0,laplace,25.604345820729616,30.0,29.987999049883637,15.863935032997688,5,10,100000,26.28359893711837,24.029932254732458,23.646559549108957,29.155175982297873,27.167187856577918
PredictiveDecorrBSS,1700,0.0,laplace,26.94286364325142,30.0,30.01483644068692,15.695792681999592,5,10,100000,26.014333393522307,26.354467616599322,28.19981648806829,28.06001124270274,26.555907187382473
PredictiveDecorrBSS,1800,0.0,laplace,26.310280534599872,30.0,29.99329297093258,15.688782197001274,5,10,100000,23.173096333412346,26.908563923745724,27.130881927142187,28.228795313566735,28.526704557113575
PredictiveDecorrBSS,1900,0.0,laplace,27.329146695490543,30.0,30.002475362615982,15.770072553001228,5,10,100000,27.890139028855828,26.82421670457956,26.292055633700837,30.39172535855162,26.419087753638408
PredictiveDecorrBSS,2000,0.0,laplace,26.488698112619588,30.0,30.000373925633745,15.666463568999461,5,10,100000,24.681505468471656,28.478387322194397,25.674715756522204,25.5490920918494,30.421680159682488
PredictiveDecorrBSS,2100,0.0,laplace,23.525782718650795,30.0,29.991035910592004,15.764005005999934,5,10,100000,25.971331025495175,23.01504843830091,22.513623059881045,21.19026750853779,28.37489943469751
PredictiveDecorrBSS,2200,0.0,laplace,25.665829423051697,30.0,29.990412585726038,15.730961593002576,5,10,100000,29.479800403997544,24.275213884874102,28.801873828803856,23.17593932281559,25.893785613573566
PredictiveDecorrBSS,2300,0.0,laplace,25.218205815042936,30.0,30.015451919429992,15.663700313001755,5,10,100000,25.83706463139313,21.159510104861837,27.644740424522467,26.71591404980679,30.284967815339215
PredictiveDecorrBSS,2400,0.0,laplace,24.93188718405051,30.0,29.995963741852265,15.699867606002954,5,10,100000,26.801547126958056,23.94463565345932,28.20073554833163,23.245568700433182,24.328034044130437
PredictiveDecorrBSS,2500,0.0,laplace,25.575878645349015,30.0,30.001337267937416,15.790058718997898,5,10,100000,27.480065685923876,26.78618792643008,26.692737579535336,24.46303725922312,23.7238703266205
PredictiveDecorrBSS,2600,0.0,laplace,24.86917992635538,30.0,30.01176336828052,15.649885925999115,5,10,100000,32.062920514766226,25.418813596752166,23.858449942641954,22.93997005673249,24.426446044303564
PredictiveDecorrBSS,2700,0.0,laplace,24.21994101630165,30.0,29.988151600413502,15.579754279999179,5,10,100000,20.39307380604296,26.8081753730505,26.71125740442193,25.51278412559941,25.592126137488258
PredictiveDecorrBSS,2800,0.0,laplace,25.695832921443113,30.0,29.987971291367867,15.700706747000368,5,10,100000,26.272788462809235,28.481928612599546,26.937777807235484,23.58949098705121,24.81494899112402
PredictiveDecorrBSS,2900,0.0,laplace,26.202359594496695,30.0,30.00008763492124,15.762936074999743,5,10,100000,30.577924654644015,25.266393395838822,26.789233499762574,24.38642759682478,26.206365594745712
PredictiveDecorrBSS,0,0.0,rademacher,25.420193528470215,30.0,30.00994078704924,16.115231534000486,5,10,100000,26.686507106722473,25.381846257297816,25.293025664449388,24.229057424358164,25.878978663924897
PredictiveDecorrBSS,100,0.0,rademacher,25.835503875568477,30.0,30.010461733915005,16.04183377300069,5,10,100000,26.398764581260235,24.55851945334355,26.692565391262583,25.46772427523898,26.436922196029787
