Model,gradient_variant,seed,SNRinp_target,SNRinp_measured,SINR,execution_time,n_sources,n_mixtures,n_samples,presumed_domain,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,truncated,2800,25.0,25.00040544286058,24.55602783498396,14.269880409003235,5,10,100000,sparse,23.90248781471319,25.081610995336433,23.199410895662265,26.3644021574995,24.882865829300837
PredictiveDecorrBSS,full,2800,25.0,25.00040544286058,24.562966785103054,16.001214519987116,5,10,100000,sparse,23.905809015601974,25.08481450415204,23.207450788662,26.378421985129158,24.89135597842401
PredictiveDecorrBSS,truncated,2900,25.0,24.988195522433656,22.322889935651613,14.328817700996296,5,10,100000,sparse,24.03071685323716,22.87571515913899,19.76478054614488,24.68582229668788,22.069307579088523
PredictiveDecorrBSS,full,2900,25.0,24.988195522433656,22.330833319303615,15.712530026998138,5,10,100000,sparse,24.03709138690242,22.885121022779906,19.77196726162846,24.69598511668353,22.077098341935052
PredictiveDecorrBSS,truncated,0,20.0,20.003921877920554,19.66355674005794,14.053363298007753,5,10,100000,sparse,22.807944713176855,21.37954041246987,20.803692674385843,19.319513629029412,16.658538472226866
PredictiveDecorrBSS,full,0,20.0,20.003921877920554,19.665948094113958,15.897490217990708,5,10,100000,sparse,22.810859537211527,21.381145715508584,20.806020032770963,19.32471841093864,16.659551845683666
PredictiveDecorrBSS,truncated,100,20.0,20.01013896108627,20.068144946134847,14.264598154986743,5,10,100000,sparse,21.429556554283295,19.424664195500746,19.629632028623377,20.487180311068244,19.67709401536745
PredictiveDecorrBSS,full,100,20.0,20.01013896108627,20.072548326118675,15.884950063016731,5,10,100000,sparse,21.435104929081362,19.42981306298949,19.632624994907033,20.492015812068626,19.68102875318067
PredictiveDecorrBSS,truncated,200,20.0,20.005513037743047,18.930441550542067,14.15385216800496,5,10,100000,sparse,15.705169630746106,21.077959416499755,21.507405070643642,22.545718320230552,17.850535299944564
PredictiveDecorrBSS,full,200,20.0,20.005513037743047,18.933171876771645,15.811715525982436,5,10,100000,sparse,15.707696987999222,21.080753083688165,21.510326530744756,22.551722257383698,17.85238490517484
PredictiveDecorrBSS,truncated,300,20.0,19.99506176695879,19.005855608383936,14.127954721974675,5,10,100000,sparse,20.03184908136495,23.374213604977335,15.311303725805116,19.711855657255583,20.808027980905987
PredictiveDecorrBSS,full,300,20.0,19.99506176695879,19.01022507245982,15.818413416011026,5,10,100000,sparse,20.042056138230713,23.382189362722883,15.313861107629844,19.714171158851475,20.812454432543262
PredictiveDecorrBSS,truncated,400,20.0,20.001287938126985,17.213789212605736,14.14853013199172,5,10,100000,sparse,18.1371175362014,14.631481689767424,18.86680771122181,20.620693353136737,16.28401424655065
PredictiveDecorrBSS,full,400,20.0,20.001287938126985,17.223661898410057,15.822730640997179,5,10,100000,sparse,18.146819736041813,14.637634903757256,18.874115432894975,20.63260239936011,16.30000943394152
PredictiveDecorrBSS,truncated,500,20.0,20.010303315852916,22.041258282677504,14.323923797986936,5,10,100000,sparse,23.694223934806175,20.758217450942404,22.362070107515045,21.410168035828843,22.557570636545773
PredictiveDecorrBSS,full,500,20.0,20.010303315852916,22.04304091666449,16.074943732004613,5,10,100000,sparse,23.695543737316704,20.76029022792639,22.362584482578836,21.41280302975712,22.55951547439833
PredictiveDecorrBSS,truncated,600,20.0,20.006325528614617,19.222379633535155,14.324262225010898,5,10,100000,sparse,20.135499415346494,15.886242450421978,23.924230288480093,18.471587201953813,22.22742927728598
PredictiveDecorrBSS,full,600,20.0,20.006325528614617,19.226511451258094,15.845520525006577,5,10,100000,sparse,20.13741840281465,15.890115893939523,23.93423057431148,18.476149422712002,22.231292044554003
PredictiveDecorrBSS,truncated,700,20.0,20.003730301313922,18.30676181674101,14.29353883798467,5,10,100000,sparse,16.937872958014584,17.953621113005426,18.4745575035604,23.156589727997464,17.340521432832944
PredictiveDecorrBSS,full,700,20.0,20.003730301313922,18.311454714475552,15.880475587007822,5,10,100000,sparse,16.941703859962725,17.956404713554562,18.477218406490458,23.162440230459545,17.3490986226107
PredictiveDecorrBSS,truncated,800,20.0,19.989045679417256,20.991286575141437,14.223657186987111,5,10,100000,sparse,22.164424566865726,21.300985341969284,21.847116356169526,19.624394537865783,20.52280042391533
PredictiveDecorrBSS,full,800,20.0,19.989045679417256,20.995310654597688,17.150601029978134,5,10,100000,sparse,22.171169321226586,21.30520440344823,21.85153682536255,19.626419309215276,20.526967155868697
